DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS36 --> MMS2_2          2021-054/22:48:57        2021-055/02:52:10        243.21667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_2          2021-055/05:27:25        2021-055/15:09:50        582.41667                1.25 Mbps                FieldOfView              FieldOfView              
DS56 --> MMS2_2          2021-055/05:28:02        2021-055/14:52:25        564.38333                1.25 Mbps                Mask                     Mask                     
DS65 --> MMS2_2          2021-055/05:32:18        2021-055/15:05:12        572.90000                1.25 Mbps                Mask                     Mask                     
DS26 --> MMS2_2          2021-055/13:35:18        2021-055/23:00:11        564.88333                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_2          2021-055/13:35:19        2021-055/23:00:09        564.83333                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_2          2021-055/14:12:09        2021-055/22:58:59        526.83333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_2          2021-055/14:12:09        2021-055/22:58:59        526.83333                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_2          2021-055/19:15:06        2021-056/06:51:29        696.38333                1.25 Mbps                FieldOfView              FieldOfView              
DS34 --> MMS2_2          2021-055/19:15:24        2021-056/06:42:54        687.50000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_2          2021-055/19:40:14        2021-056/06:38:31        658.28333                1.25 Mbps                Mask                     Mask                     
DS36 --> MMS2_2          2021-055/19:40:14        2021-056/06:38:31        658.28333                2.50 Mbps                Mask                     Mask                     
DS54 --> MMS2_2          2021-056/07:25:06        2021-056/12:00:31        275.41667                1.25 Mbps                FieldOfView              ReturnDataRate           
DS56 --> MMS2_2          2021-056/07:25:45        2021-056/12:00:32        274.78333                1.25 Mbps                Mask                     ReturnDataRate           
DS65 --> MMS2_2          2021-056/07:30:19        2021-056/12:00:31        270.20000                1.25 Mbps                Mask                     ReturnDataRate           
DS54 --> MMS2_2          2021-056/09:01:02        2021-056/09:53:06        52.06667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_2          2021-056/09:01:01        2021-056/09:53:06        52.08333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_2          2021-056/09:01:02        2021-056/09:53:05        52.05000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS54 --> MMS2_1          2021-056/09:12:34        2021-056/15:29:04        376.50000                1.25 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_1          2021-056/09:12:34        2021-056/15:28:24        375.83333                1.25 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_1          2021-056/09:12:34        2021-056/14:54:07        341.55000                1.25 Mbps                ReturnDataRate           Mask                     
