  Time                  V(Q1:c)               V(C1:B)              
  9.586503925323e-004  3.379561267087e+000  -5.171520996550e-004  
  9.588139715195e-004  3.379686974080e+000  -5.259214785092e-004  
  9.591411294937e-004  3.379855849833e+000  -5.432926473882e-004  
  9.597954454422e-004  3.379988757393e+000  -5.773390669057e-004  
  9.611040773392e-004  3.380101344684e+000  -6.424489974705e-004  
  9.623930635452e-004  3.380192143725e+000  -7.023397942625e-004  
  9.648661317825e-004  3.380328060776e+000  -8.040444622763e-004  
  9.698122682571e-004  3.380488595830e+000  -9.473454189073e-004  
  9.797045412064e-004  3.380407843072e+000  -9.566289705637e-004  
  9.894045534134e-004  3.378794101201e+000  -6.176346311570e-004  
  1.000000000000e-003  3.365902012244e+000  -2.449212707645e-018  
